timestamp,adjclose,open,high,volume,low,close,crypto,very_poor,poor,neutral,good,excellent
2014-09-17 00:00:00,457.3340148925781,465.864013671875,468.1740112304688,21056800,452.4219970703125,457.3340148925781,BTC,5,15,60,16,5
2014-09-18 00:00:00,424.4400024414063,456.8599853515625,456.8599853515625,34483200,413.10400390625,424.4400024414063,BTC,3,13,58,18,5
2014-09-19 00:00:00,394.7959899902344,424.1029968261719,427.8349914550781,37919700,384.5320129394531,394.7959899902344,BTC,5,14,56,16,9
2014-09-20 00:00:00,408.9039916992188,394.6730041503906,423.2959899902344,36863600,389.8829956054688,408.9039916992188,BTC,4,13,61,20,4
2014-09-21 00:00:00,398.8210144042969,408.0849914550781,412.4259948730469,26580100,393.1809997558594,398.8210144042969,BTC,3,13,57,17,4
2014-09-22 00:00:00,402.1520080566406,399.1000061035156,406.9159851074219,24127600,397.1300048828125,402.1520080566406,BTC,4,14,56,17,6
2014-09-23 00:00:00,435.7909851074219,402.0920104980469,441.5570068359375,45099500,396.1969909667969,435.7909851074219,BTC,4,13,58,21,6
2014-09-24 00:00:00,423.2049865722656,435.7510070800781,436.1119995117188,30627700,421.1319885253906,423.2049865722656,BTC,4,13,57,20,8
2014-09-25 00:00:00,411.5740051269531,423.156005859375,423.5199890136719,26814400,409.4679870605469,411.5740051269531,BTC,3,14,63,18,4
2014-09-26 00:00:00,404.4249877929688,411.4289855957031,414.93798828125,21460800,400.0090026855469,404.4249877929688,BTC,4,14,62,18,4
2014-09-27 00:00:00,399.5199890136719,403.5559997558594,406.62298583984375,15029300,397.37200927734375,399.5199890136719,BTC,4,14,61,18,4
2014-09-28 00:00:00,377.1809997558594,399.4710083007813,401.0169982910156,23613300,374.3320007324219,377.1809997558594,BTC,4,13,59,17,9
2014-09-29 00:00:00,375.4670104980469,376.9280090332031,385.21099853515625,32497700,372.239990234375,375.4670104980469,BTC,5,14,55,18,8
2014-09-30 00:00:00,386.9440002441406,376.0880126953125,390.97698974609375,34707300,373.4429931640625,386.9440002441406,BTC,5,14,60,17,5
2014-10-01 00:00:00,383.614990234375,387.427001953125,391.3789978027344,26229400,380.7799987792969,383.614990234375,BTC,3,13,57,19,5
2014-10-02 00:00:00,375.0719909667969,383.9880065917969,385.49700927734375,21777700,372.9460144042969,375.0719909667969,BTC,5,16,63,19,4
2014-10-03 00:00:00,359.5119934082031,375.1809997558594,377.6950073242188,30901200,357.8590087890625,359.5119934082031,BTC,5,17,61,17,5
2014-10-04 00:00:00,328.8659973144531,359.8919982910156,364.4869995117188,47236500,325.885986328125,328.8659973144531,BTC,5,13,60,19,6
2014-10-05 00:00:00,320.510009765625,328.9159851074219,341.8009948730469,83308096,289.2959899902344,320.510009765625,BTC,4,13,56,18,6
2014-10-06 00:00:00,330.0790100097656,320.3890075683594,345.1340026855469,79011800,302.5599975585937,330.0790100097656,BTC,3,13,57,20,9
2014-10-07 00:00:00,336.18701171875,330.5840148925781,339.2470092773437,49199900,320.48199462890625,336.18701171875,BTC,3,13,55,18,6
2014-10-08 00:00:00,352.94000244140625,336.1159973144531,354.364013671875,54736300,327.18798828125,352.94000244140625,BTC,3,13,58,21,6
2014-10-09 00:00:00,365.0260009765625,352.7479858398437,382.72601318359375,83641104,347.68701171875,365.0260009765625,BTC,3,13,56,22,9
2014-10-10 00:00:00,361.56201171875,364.68701171875,375.0669860839844,43665700,352.9630126953125,361.56201171875,BTC,3,13,56,16,5
2014-10-11 00:00:00,362.2990112304688,361.3619995117188,367.1910095214844,13345200,355.95098876953125,362.2990112304688,BTC,4,15,62,17,4
2014-10-12 00:00:00,378.5490112304688,362.6059875488281,379.4330139160156,17552800,356.1440124511719,378.5490112304688,BTC,3,13,56,22,9
2014-10-13 00:00:00,390.41400146484375,377.9209899902344,397.22601318359375,35221400,368.8970031738281,390.41400146484375,BTC,4,16,60,16,4
2014-10-14 00:00:00,400.8699951171875,391.6919860839844,411.697998046875,38491500,391.3240051269531,400.8699951171875,BTC,3,13,55,20,7
2014-10-15 00:00:00,394.7730102539063,400.9549865722656,402.22698974609375,25267100,388.7659912109375,394.7730102539063,BTC,5,16,63,19,4
2014-10-16 00:00:00,382.5559997558594,394.51800537109375,398.8070068359375,26990000,373.0700073242188,382.5559997558594,BTC,3,13,62,20,4
2014-10-17 00:00:00,383.7579956054688,382.7560119628906,385.4779968261719,13600700,375.3890075683594,383.7579956054688,BTC,5,15,63,16,5
2014-10-18 00:00:00,391.4419860839844,383.97601318359375,395.1579895019531,11416800,378.9710083007813,391.4419860839844,BTC,3,13,59,17,9
2014-10-19 00:00:00,389.5459899902344,391.2539978027344,393.9389953613281,5914570,386.4570007324219,389.5459899902344,BTC,5,16,62,17,4
2014-10-20 00:00:00,382.8450012207031,389.2309875488281,390.0840148925781,16419000,378.25201416015625,382.8450012207031,BTC,3,13,57,21,4
2014-10-21 00:00:00,386.4750061035156,382.4209899902344,392.64599609375,14188900,380.8340148925781,386.4750061035156,BTC,3,14,63,21,4
2014-10-22 00:00:00,383.1579895019531,386.1180114746094,388.5759887695313,11641300,382.2489929199219,383.1579895019531,BTC,5,15,61,16,4
2014-10-23 00:00:00,358.4169921875,382.9620056152344,385.0480041503906,26456900,356.4469909667969,358.4169921875,BTC,5,17,63,16,4
2014-10-24 00:00:00,358.3450012207031,358.59100341796875,364.3450012207031,15585700,353.30499267578125,358.3450012207031,BTC,4,15,59,19,4
2014-10-25 00:00:00,347.27099609375,358.6109924316406,359.8609924316406,18127500,342.87701416015625,347.27099609375,BTC,4,15,60,18,4
2014-10-26 00:00:00,354.7040100097656,347.48699951171875,359.22100830078125,11272500,343.9309997558594,354.7040100097656,BTC,5,14,62,16,6
2014-10-27 00:00:00,352.989013671875,354.7770080566406,358.6319885253906,13033000,349.8089904785156,352.989013671875,BTC,5,17,61,16,4
