timestamp,adjclose,open,high,volume,low,close,crypto,very_poor,poor,neutral,good,excellent,pct_change,volatility
2020-05-05 00:00:00,0.6418370008468628,0.6734399795532227,0.686214029788971,2847469,0.6264989972114563,0.6418370008468628,SOL,4,14,56,18,4,-3.8433502779489093,8.698460136985837
2020-05-06 00:00:00,0.6225839853286743,0.6424540281295776,0.673891007900238,2677563,0.6225839853286743,0.6225839853286743,SOL,3,13,61,21,4,-2.9996736699170246,8.587854157902093
2020-05-07 00:00:00,0.6129779815673828,0.6225839853286743,0.6322680115699768,3355830,0.5733759999275208,0.6129779815673828,SOL,4,15,58,17,4,-1.5429249687847868,8.538745341672943
2020-05-08 00:00:00,0.6049219965934753,0.6129779815673828,0.6366180181503296,2488195,0.589851975440979,0.6049219965934753,SOL,3,13,60,22,5,-1.3142372509544864,8.510728354470581
2020-05-09 00:00:00,0.6045269966125488,0.6040419936180115,0.6254289746284485,2128503,0.5884479880332947,0.6045269966125488,SOL,4,14,55,17,6,-0.06529767195619929,8.135358383454056
2020-05-10 00:00:00,0.5370339751243591,0.6044610142707825,0.6123030185699463,2327581,0.5130810141563416,0.5370339751243591,SOL,4,14,59,18,4,-11.16460007020118,8.13056761939071
2020-05-11 00:00:00,0.5152729749679565,0.5362550020217896,0.5718600153923035,2098481,0.5051940083503723,0.5152729749679565,SOL,3,13,57,22,9,-4.052071407840341,7.911211023433428
2020-05-12 00:00:00,0.5385760068893433,0.5133910179138184,0.5597590208053589,2198625,0.5052509903907776,0.5385760068893433,SOL,5,14,60,16,6,4.522463442379432,6.799259109134463
2020-05-13 00:00:00,0.5505319833755493,0.5383719801902771,0.564873993396759,2326446,0.5180379748344421,0.5505319833755493,SOL,5,17,60,16,4,2.219923712394878,6.546586449487737
2020-05-14 00:00:00,0.5691180229187012,0.5505319833755493,0.5809460282325745,2047897,0.5501099824905396,0.5691180229187012,SOL,4,13,59,18,6,3.3760144922358126,6.5948232653336545
2020-05-15 00:00:00,0.5597519874572754,0.5691930055618286,0.5746200084686279,1850070,0.5470929741859436,0.5597519874572754,SOL,4,13,58,16,7,-1.6457105704353547,6.5872323926521625
2020-05-16 00:00:00,0.599120020866394,0.5589810013771057,0.6065340042114258,2300409,0.5543609857559204,0.599120020866394,SOL,3,13,60,22,4,7.033120791218894,6.794524676907767
2020-05-17 00:00:00,0.6129890084266663,0.5952280163764954,0.6401960253715515,2936428,0.5891749858856201,0.6129890084266663,SOL,4,14,57,16,4,2.3148930226394526,6.400097245539599
2020-05-18 00:00:00,0.6526700258255005,0.6126819849014282,0.6743929982185364,3314359,0.6096490025520325,0.6526700258255005,SOL,4,13,60,19,4,6.473365240378759,5.545808773470413
2020-05-19 00:00:00,0.6244540214538574,0.6509739756584167,0.65447998046875,2380263,0.6112480163574219,0.6244540214538574,SOL,4,14,57,17,4,-4.323165344686286,4.744431779518728
2020-05-20 00:00:00,0.5791559815406799,0.6224750280380249,0.6266559958457947,2302926,0.5752829909324646,0.5791559815406799,SOL,4,13,60,19,6,-7.254023251818342,4.737712915518625
2020-05-21 00:00:00,0.6089149713516235,0.579692006111145,0.6137890219688416,2863017,0.5433459877967834,0.6089149713516235,SOL,4,14,60,16,4,5.138337642957302,4.7157614814168545
2020-05-22 00:00:00,0.6388750076293945,0.6052389740943909,0.6764320135116577,3411419,0.582830011844635,0.6388750076293945,SOL,5,14,56,18,7,4.920233150330988,4.876889000496113
2020-05-23 00:00:00,0.6130310297012329,0.6374149918556213,0.6388490200042725,2638524,0.5882470011711121,0.6130310297012329,SOL,5,14,62,17,5,-4.045232262889442,4.8306651418763185
2020-05-24 00:00:00,0.5490530133247375,0.6132889986038208,0.6132889986038208,2786816,0.5484319925308228,0.5490530133247375,SOL,4,13,59,17,5,-10.43634225296487,5.323441923365366
2020-05-25 00:00:00,0.6008570194244385,0.5485699772834778,0.6501380205154419,4509580,0.5380640029907227,0.6008570194244385,SOL,5,13,55,17,9,9.43515559381174,5.740145180694972
2020-05-26 00:00:00,0.5733069777488708,0.5991039872169495,0.6123530268669128,2689697,0.5664629936218262,0.5733069777488708,SOL,3,13,59,19,4,-4.585124378168681,5.7919867760658
2020-05-27 00:00:00,0.5909850001335144,0.5733069777488708,0.6110870242118835,2536916,0.5714430212974548,0.5909850001335144,SOL,3,14,61,17,4,3.083517743680275,5.829883911800332
2020-05-28 00:00:00,0.5751550197601318,0.5908839702606201,0.5923979878425598,2662788,0.5669479966163635,0.5751550197601318,SOL,3,13,55,18,7,-2.678575660940008,5.853777660665608
2020-05-29 00:00:00,0.5794150233268738,0.5746989846229553,0.59340500831604,2066857,0.5668579936027527,0.5794150233268738,SOL,5,16,63,16,4,0.740670501062235,5.856705912110509
2020-05-30 00:00:00,0.5879330039024353,0.5813549757003784,0.6024889945983887,2449095,0.5670499801635742,0.5879330039024353,SOL,5,14,55,16,9,1.470100054819623,5.243650906788957
2020-05-31 00:00:00,0.5700219869613647,0.5879030227661133,0.5939970016479492,1892967,0.5692449808120728,0.5700219869613647,SOL,4,14,59,18,4,-3.0464384244778375,5.201493770460975
2020-06-01 00:00:00,0.5774949789047241,0.5734720230102539,0.5878390073776245,2159877,0.5673480033874512,0.5774949789047241,SOL,4,15,60,17,4,1.3110006480970826,5.124186073412553
2020-06-02 00:00:00,0.5646690130233765,0.5771420001983643,0.5897250175476074,1295757,0.5522940158843994,0.5646690130233765,SOL,3,13,56,17,9,-2.220965783230422,5.140789091499947
2020-06-03 00:00:00,0.5866209864616394,0.5646690130233765,0.5910249948501587,877446,0.5644609928131104,0.5866209864616394,SOL,3,15,62,16,4,3.8875824477647036,5.158388057257187
2020-06-04 00:00:00,0.5872989892959595,0.5868669748306274,0.5916399955749512,901641,0.5645179748535156,0.5872989892959595,SOL,3,14,61,16,4,0.11557766427854332,5.1388039140545185
2020-06-05 00:00:00,0.6611549854278564,0.5872989892959595,0.6982790231704712,4322092,0.5779250264167786,0.6611549854278564,SOL,3,14,60,18,4,12.57553605199182,5.642030123180219
2020-06-06 00:00:00,0.6224430203437805,0.6610710024833679,0.6616190075874329,1604055,0.6117810010910034,0.6224430203437805,SOL,4,13,61,19,8,-5.855202779575819,5.808000924035165
2020-06-07 00:00:00,0.6165779829025269,0.6224430203437805,0.6244440078735352,716785,0.5933979749679565,0.6165779829025269,SOL,3,13,56,16,8,-0.9422609378789915,5.6225497169471765
2020-06-08 00:00:00,0.6683130264282227,0.6150779724121094,0.679000973701477,1440234,0.6133099794387817,0.6683130264282227,SOL,3,14,61,17,4,8.390673193057307,5.838730761360312
2020-06-09 00:00:00,0.6580020189285278,0.6677839756011963,0.6680880188941956,988327,0.6272420287132263,0.6580020189285278,SOL,5,17,62,16,4,-1.5428410178986995,5.573148946198612
2020-06-10 00:00:00,0.6448670029640198,0.6580380201339722,0.6700429916381836,1096203,0.633404016494751,0.6448670029640198,SOL,4,15,61,18,4,-1.996196909227843,5.507837529802049
2020-06-11 00:00:00,0.5737419724464417,0.6448879837989807,0.650534987449646,1122221,0.5700820088386536,0.5737419724464417,SOL,3,13,57,22,5,-11.0294107452644,5.959490607331271
